"Pokémon","Objeto","Habilidad","Teratipo","Mov1","Mov2","Mov3","Mov4","Torneo","Nombre","cluster"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","regional-dortmund","Selahattin Sturm","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Fairy","Make It Rain","Shadow Ball","Nasty Plot","Protect","regional-dortmund","Selahattin Sturm","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-dortmund","Selahattin Sturm","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Fairy","Make It Rain","Shadow Ball","Nasty Plot","Protect","regional-knoxville","Toler Webb","Gholdengo Control"
"Tornadus","Rocky Helmet","Prankster","Steel","Bleakwind Storm","Tailwind","Rain Dance","Protect","regional-knoxville","Toler Webb","Gholdengo Control"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderbolt","Thunderclap","Draco Meteor","Snarl","regional-knoxville","Toler Webb","Gholdengo Control"
"Incineroar","Sitrus Berry","Intimidate","Grass","Flare Blitz","Fake Out","Knock Off","Parting Shot","regional-knoxville","Toler Webb","Gholdengo Control"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Sucker Punch","Close Combat","Detect","regional-knoxville","Toler Webb","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-knoxville","Toler Webb","Gholdengo Control"
"Gholdengo","Life Orb","Good as Gold","Steel","Make It Rain","Shadow Ball","Nasty Plot","Protect","SpearPillar S/V Cart Tour #18","fmonkee","Gholdengo Control"
"Tornadus","Focus Sash","Prankster","Ghost","Tailwind","Bleakwind Storm","Icy Wind","Protect","SpearPillar S/V Cart Tour #18","fmonkee","Gholdengo Control"
"Urshifu-Rapid-Strike","Mystic Water","Unseen Fist","Water","Surging Strikes","Aqua Jet","Close Combat","Detect","SpearPillar S/V Cart Tour #18","fmonkee","Gholdengo Control"
"Regidrago","Dragon Fang","Dragon's Maw","Ghost","Dragon Energy","Draco Meteor","Earth Power","Protect","SpearPillar S/V Cart Tour #18","fmonkee","Gholdengo Control"
"Rillaboom","Assault Vest","Grassy Surge","Water","Fake Out","Grassy Glide","Wood Hammer","High Horsepower","SpearPillar S/V Cart Tour #18","fmonkee","Gholdengo Control"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Grassy Glide","Follow Me","Spiky Shield","SpearPillar S/V Cart Tour #18","fmonkee","Gholdengo Control"
"Incineroar","Sitrus Berry","Intimidate","Grass","Flare Blitz","Parting Shot","Fake Out","Knock Off","Pokemon Day Week x Saturday Night Rumble #41","kendi","Gholdengo Control"
"Urshifu","Focus Sash","Unseen Fist","Dark","Close Combat","Detect","Sucker Punch","Wicked Blow","Pokemon Day Week x Saturday Night Rumble #41","kendi","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","Pokemon Day Week x Saturday Night Rumble #41","kendi","Gholdengo Control"
"Gholdengo","Leftovers","Good as Gold","Fairy","Make It Rain","Protect","Shadow Ball","Nasty Plot","Pokemon Day Week x Saturday Night Rumble #41","kendi","Gholdengo Control"
"Tornadus","Rocky Helmet","Prankster","Steel","Bleakwind Storm","Rain Dance","Tailwind","Protect","Pokemon Day Week x Saturday Night Rumble #41","kendi","Gholdengo Control"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Electroweb","Draco Meteor","Snarl","Pokemon Day Week x Saturday Night Rumble #41","kendi","Gholdengo Control"
"Tornadus","Rocky Helmet","Prankster","Ghost","Taunt","Tailwind","Bleakwind Storm","Rain Dance","Pokemon Day Week x Saturday Night Rumble #41","lelandvgc","Gholdengo Control"
"Urshifu-Rapid-Strike","Focus Sash","Unseen Fist","Water","Surging Strikes","Aqua Jet","Close Combat","Protect","Pokemon Day Week x Saturday Night Rumble #41","lelandvgc","Gholdengo Control"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sandsear Storm","Protect","Sludge Bomb","Pokemon Day Week x Saturday Night Rumble #41","lelandvgc","Gholdengo Control"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Thunderclap","Thunderbolt","Dragon Pulse","Snarl","Pokemon Day Week x Saturday Night Rumble #41","lelandvgc","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Steel","Make It Rain","Nasty Plot","Shadow Ball","Protect","Pokemon Day Week x Saturday Night Rumble #41","lelandvgc","Gholdengo Control"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Follow Me","Spiky Shield","Wood Hammer","Pokemon Day Week x Saturday Night Rumble #41","lelandvgc","Gholdengo Control"
"Tornadus","Rocky Helmet","Prankster","Steel","Bleakwind Storm","Tailwind","Protect","Rain Dance","Pokemon day week x VGC trainer school tour!","mrawesome","Gholdengo Control"
"Incineroar","Sitrus Berry","Intimidate","Grass","Flare Blitz","Knock Off","Fake Out","Parting Shot","Pokemon day week x VGC trainer school tour!","mrawesome","Gholdengo Control"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","Pokemon day week x VGC trainer school tour!","mrawesome","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Fairy","Make It Rain","Shadow Ball","Protect","Nasty Plot","Pokemon day week x VGC trainer school tour!","mrawesome","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Spiky Shield","Follow Me","Pokemon day week x VGC trainer school tour!","mrawesome","Gholdengo Control"
"Archaludon","Assault Vest","Stamina","Fairy","Dragon Pulse","Flash Cannon","Electro Shot","Body Press","Pokemon day week x VGC trainer school tour!","mrawesome","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","Tommy D’Angelo II Tuesday Practice Tour","nator92","Gholdengo Control"
"Urshifu","Choice Band","Unseen Fist","Poison","Wicked Blow","Sucker Punch","Close Combat","Poison Jab","Tommy D’Angelo II Tuesday Practice Tour","nator92","Gholdengo Control"
"Tornadus","Covert Cloak","Prankster","Ghost","Bleakwind Storm","Scary Face","Tailwind","Protect","Tommy D’Angelo II Tuesday Practice Tour","nator92","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Fairy","Make It Rain","Shadow Ball","Nasty Plot","Protect","Tommy D’Angelo II Tuesday Practice Tour","nator92","Gholdengo Control"
"Incineroar","Assault Vest","Intimidate","Dragon","Flare Blitz","Snarl","Fake Out","U-turn","Tommy D’Angelo II Tuesday Practice Tour","nator92","Gholdengo Control"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","Tommy D’Angelo II Tuesday Practice Tour","nator92","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Swords Dance","Spiky Shield","Pokemon Day Week x Tommy Tuesday Birthday Tour!!!!","pengy","Gholdengo Control"
"Clefairy","Eviolite","Friend Guard","Steel","Follow Me","Protect","Helping Hand","Moonblast","Pokemon Day Week x Tommy Tuesday Birthday Tour!!!!","pengy","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Fairy","Make It Rain","Shadow Ball","Nasty Plot","Protect","Pokemon Day Week x Tommy Tuesday Birthday Tour!!!!","pengy","Gholdengo Control"
"Tornadus","Rocky Helmet","Prankster","Ghost","Bleakwind Storm","Tailwind","Rain Dance","Protect","Pokemon Day Week x Tommy Tuesday Birthday Tour!!!!","pengy","Gholdengo Control"
"Incineroar","Figy Berry","Intimidate","Grass","Flare Blitz","Fake Out","Parting Shot","Knock Off","Pokemon Day Week x Tommy Tuesday Birthday Tour!!!!","pengy","Gholdengo Control"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","Pokemon Day Week x Tommy Tuesday Birthday Tour!!!!","pengy","Gholdengo Control"
"Tornadus","Rocky Helmet","Prankster","Steel","Bleakwind Storm","Scary Face","Tailwind","Protect","Pokemon day week x VGC trainer school tour!","plopy","Gholdengo Control"
"Landorus-Therian","Choice Band","Intimidate","Water","Earthquake","Stomping Tantrum","Rock Slide","U-turn","Pokemon day week x VGC trainer school tour!","plopy","Gholdengo Control"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Icy Wind","Taunt","Protect","Pokemon day week x VGC trainer school tour!","plopy","Gholdengo Control"
"Gholdengo","Life Orb","Good as Gold","Steel","Make It Rain","Shadow Ball","Nasty Plot","Protect","Pokemon day week x VGC trainer school tour!","plopy","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","Pokemon day week x VGC trainer school tour!","plopy","Gholdengo Control"
"Urshifu","Focus Sash","Unseen Fist","Dark","Wicked Blow","Close Combat","Sucker Punch","Detect","Pokemon day week x VGC trainer school tour!","plopy","Gholdengo Control"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Perish Song","Pokémon Day Week x SpearPillar Saturday Showdown","rikycube","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","Pokémon Day Week x SpearPillar Saturday Showdown","rikycube","Gholdengo Control"
"Incineroar","Sitrus Berry","Intimidate","Grass","Flare Blitz","Knock Off","Fake Out","Parting Shot","Pokémon Day Week x SpearPillar Saturday Showdown","rikycube","Gholdengo Control"
"Raging Bolt","Assault Vest","Protosynthesis","Electric","Thunderbolt","Thunderclap","Draco Meteor","Snarl","Pokémon Day Week x SpearPillar Saturday Showdown","rikycube","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Fairy","Make It Rain","Shadow Ball","Nasty Plot","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","rikycube","Gholdengo Control"
"Tornadus","Rocky Helmet","Prankster","Steel","Bleakwind Storm","Tailwind","Rain Dance","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","rikycube","Gholdengo Control"
"Whimsicott","Focus Sash","Prankster","Ghost","Tailwind","Encore","Protect","Moonblast","Pokemon Day Week x Nino FF #84","sefranekvgc","Gholdengo Control"
"Gholdengo","Metal Coat","Good as Gold","Fairy","Make It Rain","Shadow Ball","Nasty Plot","Protect","Pokemon Day Week x Nino FF #84","sefranekvgc","Gholdengo Control"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Thunderbolt","Draco Meteor","Snarl","Pokemon Day Week x Nino FF #84","sefranekvgc","Gholdengo Control"
"Landorus-Therian","Choice Scarf","Intimidate","Flying","Stomping Tantrum","Tera Blast","Rock Slide","U-turn","Pokemon Day Week x Nino FF #84","sefranekvgc","Gholdengo Control"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","Pokemon Day Week x Nino FF #84","sefranekvgc","Gholdengo Control"
"Incineroar","Sitrus Berry","Intimidate","Fairy","Fake Out","Knock Off","Flare Blitz","Parting Shot","Pokemon Day Week x Nino FF #84","sefranekvgc","Gholdengo Control"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","U-turn","Grassy Glide","Fake Out","special-utrecht","Adam Cherfaoui","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Substitute","Sludge Bomb","Protect","special-utrecht","Adam Cherfaoui","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Dragon Pulse","Thunderclap","Calm Mind","Protect","special-utrecht","Adam Cherfaoui","Japan Balance"
"Chien-Pao","Clear Amulet","Sword of Ruin","Fire","Icicle Crash","Sacred Sword","Sucker Punch","Protect","special-utrecht","Adam Cherfaoui","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Taunt","Fake Out","Parting Shot","special-utrecht","Adam Cherfaoui","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","U-turn","Close Combat","Coaching","special-utrecht","Adam Cherfaoui","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Taunt","Parting Shot","Fake Out","special-utrecht","Alessandro Pietro Tucci","Japan Balance"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Helping Hand","special-utrecht","Alessandro Pietro Tucci","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sacred Sword","Sucker Punch","Protect","special-utrecht","Alessandro Pietro Tucci","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Grass","Wood Hammer","Grassy Glide","U-turn","Fake Out","special-utrecht","Alessandro Pietro Tucci","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Thunderclap","Thunderbolt","Dragon Pulse","Calm Mind","special-utrecht","Alessandro Pietro Tucci","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Aqua Jet","Close Combat","U-turn","special-utrecht","Alessandro Pietro Tucci","Japan Balance"
"Volcarona","Sitrus Berry","Flame Body","Fairy","Protect","Quiver Dance","Heat Wave","Tera Blast","special-utrecht","Alex Gómez Berna","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Grassy Glide","Wood Hammer","U-turn","Fake Out","special-utrecht","Alex Gómez Berna","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Fake Out","Parting Shot","Will-O-Wisp","Flare Blitz","special-utrecht","Alex Gómez Berna","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","special-utrecht","Alex Gómez Berna","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Protect","Calm Mind","Dragon Pulse","Thunderclap","special-utrecht","Alex Gómez Berna","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Protect","Sucker Punch","Icicle Crash","Sacred Sword","special-utrecht","Alex Gómez Berna","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Thunderclap","Calm Mind","Protect","Dragon Pulse","special-utrecht","Carlos Cabal","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Substitute","Earth Power","Sludge Bomb","Protect","special-utrecht","Carlos Cabal","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","U-turn","Fake Out","Grassy Glide","special-utrecht","Carlos Cabal","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Taunt","Fake Out","Flare Blitz","Parting Shot","special-utrecht","Carlos Cabal","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","U-turn","Aqua Jet","special-utrecht","Carlos Cabal","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sucker Punch","Sacred Sword","Protect","special-utrecht","Carlos Cabal","Japan Balance"
"Raging Bolt","Booster Energy","Protosynthesis","Fairy","Thunderbolt","Dragon Pulse","Thunderclap","Protect","special-utrecht","Davide Carrer","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Davide Carrer","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","U-turn","Fake Out","special-utrecht","Davide Carrer","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sucker Punch","Sacred Sword","Protect","special-utrecht","Davide Carrer","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Parting Shot","Taunt","Fake Out","special-utrecht","Davide Carrer","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","Aqua Jet","U-turn","special-utrecht","Davide Carrer","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Protect","Calm Mind","Thunderclap","Dragon Pulse","special-utrecht","Eric Rios","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","special-utrecht","Eric Rios","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Fake Out","Parting Shot","Will-O-Wisp","special-utrecht","Eric Rios","Japan Balance"
"Volcarona","Sitrus Berry","Flame Body","Fairy","Protect","Quiver Dance","Heat Wave","Tera Blast","special-utrecht","Eric Rios","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Fake Out","Grassy Glide","U-turn","special-utrecht","Eric Rios","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Protect","Sucker Punch","Icicle Crash","Sacred Sword","special-utrecht","Eric Rios","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","special-utrecht","Francesco Pio Pero","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Grassy Glide","Wood Hammer","U-turn","Fake Out","special-utrecht","Francesco Pio Pero","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Francesco Pio Pero","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Dragon Pulse","Thunderclap","Calm Mind","Protect","special-utrecht","Francesco Pio Pero","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sucker Punch","Sacred Sword","Protect","special-utrecht","Francesco Pio Pero","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","U-turn","Aqua Jet","special-utrecht","Francesco Pio Pero","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","U-turn","Grassy Glide","Fake Out","regional-goiânia","Gabriel Agati","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Protect","Thunderclap","Dragon Pulse","Calm Mind","regional-goiânia","Gabriel Agati","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Protect","Sucker Punch","Icicle Crash","Sacred Sword","regional-goiânia","Gabriel Agati","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Parting Shot","Will-O-Wisp","Flare Blitz","Fake Out","regional-goiânia","Gabriel Agati","Japan Balance"
"Volcarona","Sitrus Berry","Flame Body","Fairy","Protect","Heat Wave","Tera Blast","Quiver Dance","regional-goiânia","Gabriel Agati","Japan Balance"
"Urshifu-Rapid-Strike","Mystic Water","Unseen Fist","Steel","Detect","Surging Strikes","Close Combat","Aqua Jet","regional-goiânia","Gabriel Agati","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Grass","U-turn","Wood Hammer","Fake Out","Grassy Glide","special-utrecht","Javier Señorena","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Javier Señorena","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Ice Spinner","Sucker Punch","Crunch","Protect","special-utrecht","Javier Señorena","Japan Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Fake Out","Flare Blitz","Parting Shot","Throat Chop","special-utrecht","Javier Señorena","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","special-utrecht","Javier Señorena","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Thunderclap","Calm Mind","Protect","Dragon Pulse","special-utrecht","Javier Señorena","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","Fake Out","U-turn","regional-portland","Jeremy Parson","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","Surging Strikes","Close Combat","Aqua Jet","U-turn","regional-portland","Jeremy Parson","Japan Balance"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Power Gem","regional-portland","Jeremy Parson","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sacred Sword","Sucker Punch","Protect","regional-portland","Jeremy Parson","Japan Balance"
"Incineroar","Sitrus Berry","Intimidate","Grass","Flare Blitz","Parting Shot","Helping Hand","Fake Out","regional-portland","Jeremy Parson","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Grass","Thunderclap","Dragon Pulse","Calm Mind","Protect","regional-portland","Jeremy Parson","Japan Balance"
"Raging Bolt","Booster Energy","Protosynthesis","Fairy","Thunderbolt","Dragon Pulse","Thunderclap","Protect","special-utrecht","Karl Akpovi","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","U-turn","Fake Out","special-utrecht","Karl Akpovi","Japan Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Taunt","Flare Blitz","Parting Shot","Fake Out","special-utrecht","Karl Akpovi","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sacred Sword","Sucker Punch","Protect","special-utrecht","Karl Akpovi","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Ghost","Surging Strikes","Aqua Jet","Close Combat","U-turn","special-utrecht","Karl Akpovi","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Protect","Substitute","special-utrecht","Karl Akpovi","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Ghost","Surging Strikes","Close Combat","U-turn","Aqua Jet","special-utrecht","Kevin Salvetto","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sucker Punch","Sacred Sword","Protect","special-utrecht","Kevin Salvetto","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Thunderclap","Calm Mind","Protect","Tera Blast","special-utrecht","Kevin Salvetto","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Kevin Salvetto","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Parting Shot","Fake Out","special-utrecht","Kevin Salvetto","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","U-turn","Fake Out","special-utrecht","Kevin Salvetto","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","U-turn","Fake Out","special-utrecht","Leonardo Bonanomi","Japan Balance"
"Incineroar","Sitrus Berry","Intimidate","Ghost","Flare Blitz","Fake Out","Parting Shot","Taunt","special-utrecht","Leonardo Bonanomi","Japan Balance"
"Raging Bolt","Booster Energy","Protosynthesis","Fairy","Thunderclap","Dragon Pulse","Thunderbolt","Protect","special-utrecht","Leonardo Bonanomi","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Leonardo Bonanomi","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sacred Sword","Sucker Punch","Protect","special-utrecht","Leonardo Bonanomi","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","U-turn","Aqua Jet","special-utrecht","Leonardo Bonanomi","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","U-turn","Grassy Glide","Fake Out","regional-goiânia","Pedro Soares Fialdini","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","regional-goiânia","Pedro Soares Fialdini","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","regional-goiânia","Pedro Soares Fialdini","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Dragon Pulse","Thunderclap","Calm Mind","Protect","regional-goiânia","Pedro Soares Fialdini","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","Ice Spinner","U-turn","regional-goiânia","Pedro Soares Fialdini","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Icicle Crash","Sucker Punch","Sacred Sword","Protect","regional-goiânia","Pedro Soares Fialdini","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","Aqua Jet","U-turn","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Protect","Icicle Crash","Sucker Punch","Sacred Sword","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Thunderclap","Dragon Pulse","Calm Mind","Protect","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Parting Shot","Knock Off","Fake Out","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","U-turn","Fake Out","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","U-turn","Aqua Jet","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Thunderclap","Dragon Pulse","Calm Mind","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Grass","Flare Blitz","Fake Out","Parting Shot","Knock Off","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","U-turn","Fake Out","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Icicle Crash","Sucker Punch","Sacred Sword","Protect","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","Fake Out","U-turn","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance"
"Incineroar","Safety Goggles","Intimidate","Ghost","Flare Blitz","Knock Off","Fake Out","Parting Shot","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","Aqua Jet","U-turn","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance"
