Torneo,Tipo_Torneo,Nombre,Nacionalidad,0_Pokémon,0_Objeto,0_Habilidad,0_Teratipo,0_Mov1,0_Mov2,0_Mov3,0_Mov4,1_Pokémon,1_Objeto,1_Habilidad,1_Teratipo,1_Mov1,1_Mov2,1_Mov3,1_Mov4,2_Pokémon,2_Objeto,2_Habilidad,2_Teratipo,2_Mov1,2_Mov2,2_Mov3,2_Mov4,3_Pokémon,3_Objeto,3_Habilidad,3_Teratipo,3_Mov1,3_Mov2,3_Mov3,3_Mov4,4_Pokémon,4_Objeto,4_Habilidad,4_Teratipo,4_Mov1,4_Mov2,4_Mov3,4_Mov4,5_Pokémon,5_Objeto,5_Habilidad,5_Teratipo,5_Mov1,5_Mov2,5_Mov3,5_Mov4,Ronda_1,Resultado_1,Ronda_2,Resultado_2,Ronda_3,Resultado_3,Ronda_4,Resultado_4,Ronda_5,Resultado_5,Ronda_6,Resultado_6,Ronda_7,Resultado_7,Ronda_8,Resultado_8,Ronda_9,Resultado_9,Ronda_10,Resultado_10,Ronda_11,Resultado_11,Ronda_12,Resultado_12,Ronda_13,Resultado_13,Ronda_14,Resultado_14,Ronda_15,Resultado_15,Ronda_16,Resultado_16,Ronda_17,Resultado_17,Enfrentamientos,Equipo,Wins,Losses
special-utrecht,Oficial,Joseph Martin,UK,Roaring Moon, Booster Energy,Protosynthesis,Poison,Tailwind,Breaking Swipe,Knock Off,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,- Ivy Cudgel,Wood Hammer,Swords Dance,Spiky Shield,Indeedee-F, Psychic Seed,Psychic Surge,Fire,Follow Me,Trick Room,Dazzling Gleam,Helping Hand,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Hatterene, Life Orb,Magic Bounce,Fairy,Trick Room,Expanding Force,Dazzling Gleam,Protect,Ursaluna-Bloodmoon,Silk Scarf,Mindâ€™s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Protect,Kayleigh Westerweele ,Win,Tjardo Neis ,Win,Giulio Tarlao ,Win,Kai Wycik ,Win,Andreas Erdmann ,Win,Alex Gómez Berna ,Loss,Bart van Doorn ,Win,Emilio Dominguez ,Loss,Jan Altisent Brescó ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/506,https://pokepast.es/c638a6d02c053d7a,6,3
special-utrecht,Oficial,Livio Sandberg,NL,Amoonguss, Rocky Helmet,Regenerator,Fairy,Rage Powder,Protect,Spore,Pollen Puff,Flutter Mane, Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Chien-Pao, Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sacred Sword,Sucker Punch,Protect,Kingambit,Dread Plate,Defiant,Dragon,Sucker Punch,Kowtow Cleave,Iron Head,Protect,Gouging Fire,Booster Energy,Protosynthesis,Grass,Howl,Burning Bulwark,Heat Crash,Breaking Swipe,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Tom Winter ,Win,Quinten Sandberg ,Win,Peter Blokker ,Win,Louis Markl ,Win,Riccardo Stellini ,Loss,Patrick Liam Pluess ,Win,Akram Hamdi ,Loss,Victor Jimenez Coll ,Win,Sven van der Voorden ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/599,https://pokepast.es/ad5d7a2f211f663a,6,3
special-utrecht,Oficial,Philipp Mayr,DE,Ogerpon-Cornerstone,Cornerstone Mask,Sturdy,Rock,- Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,Indeedee-F, Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Helping Hand,Follow Me,Trick Room,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Low Kick,Swords Dance,Gallade, Clear Amulet,Sharpness,Grass,Sacred Sword,Psycho Cut,Trick Room,Wide Guard,Armarouge, Life Orb,Flash Fire,Fairy,Armor Cannon,Expanding Force,Trick Room,Protect,Torkoal, Choice Specs,Drought,Fire,Eruption,Weather Ball,Lava Plume,Earth Power,Timo van der Vliet ,Win,Hermann Krumrey ,Loss,Hippolyte Bernard ,Win,Justin De Backer ,Win,Thomas Bacu ,Win,Emilio Dominguez ,Loss,Simone Sanvito ,Loss,William Masson ,Win,Mike Reiziger ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/641,https://pokepast.es/02ceff3be755bd6d,6,3
special-utrecht,Oficial,Sebastian Liu Li,NL,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Incineroar, Safety Goggles,Intimidate,Ghost,Parting Shot,Taunt,Flare Blitz,Fake Out,Raging Bolt,Leftovers,Protosynthesis,Fairy,- Thunderclap,Dragon Pulse,Calm Mind,Protect,Rillaboom, Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Close Combat,Surging Strikes,Aqua Jet,U-turn,Chien-Pao, Focus Sash,Sword of Ruin,Stellar,Protect,Icicle Crash,Sucker Punch,Sacred Sword,Alexander Ubaghs ,Win,Giloyd Amatredjo ,Win,Jesse van den Kerkhof ,Win,Davide Fazio ,Win,Emilio Dominguez ,Win,Francesco Pio Pero ,Loss,Javier Señorena ,Loss,Jorge Marti ,Win,Pierre Coste ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/485,https://pokepast.es/ab58d8cdfe7fc5b5,6,3
special-utrecht,Oficial,Nick Mandoeng,NL,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Cresselia, Safety Goggles,Levitate,Fairy,Moonblast,Helping Hand,Lunar Blessing,Trick Room,Incineroar, Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Amoonguss, Rocky Helmet,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect,Zoroark-Hisui,Choice Scarf,Illusion,Normal,Bitter Malice,Hyper Beam,Icy Wind,Trick,Ursaluna, Flame Orb,Guts,Dragon,Facade,Earthquake,Swords Dance,Protect,Rhys Davies ,Win,Dennis Janssen ,Win,Raj Desai ,Win,Akram Hamdi ,Loss,Alex Butters ,Win,Deniz Mimaroglu ,Win,Alessandro Pietro Tucci ,Win,Alex DellaPasqua ,Loss,Louis Markl ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/249,https://pokepast.es/c52675eb1e8e352f,6,3
special-utrecht,Oficial,Munkh-Orgil Munkhbat,NL,Tornadus, Iapapa Berry,Prankster,Steel,Tailwind,Rain Dance,Bleakwind Storm,Scary Face,Incineroar, Sitrus Berry,Intimidate,Ghost,Knock Off,Flare Blitz,Fake Out,Parting Shot,Gholdengo, Leftovers,Good as Gold,Fairy,Make It Rain,Nasty Plot,Dazzling Gleam,Protect,Urshifu-Rapid-Strike, Focus Sash,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Detect,Rillaboom, Assault Vest,Grassy Surge,Grass,Grassy Glide,High Horsepower,Wood Hammer,Fake Out,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Alberto Baldi ,Win,Joris Andonyadis ,Loss,Liam Critcher ,Win,Fabian Schneekloth ,Win,Mateus De Moura Pimentel ,Win,iris de wal ,Win,Bowei Zhang ,Loss,Hengyue Zhang ,Loss,Robbie Van der Raaf ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/228,https://pokepast.es/8f0534e5437b8bb0,6,3
special-utrecht,Oficial,Anthony MAGAIL,FR,Porygon2, Eviolite,Download,Ghost,Tera Blast,Trick Room,Recover,Ice Beam,Rillaboom, Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Incineroar, Sitrus Berry,Intimidate,Grass,Taunt,Fake Out,Flare Blitz,Parting Shot,Dragonite, Choice Band,Inner Focus,Normal,Extreme Speed,Outrage,Stomping Tantrum,Iron Head,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Follow Me,Ivy Cudgel,Spiky Shield,Wood Hammer,Primarina, Leftovers,Liquid Voice,Steel,Hyper Voice,Moonblast,Calm Mind,Protect,Pau Bragulat ,Win,Jorge Hernández Acosta ,Win,Carlos Sanchez Rodriguez ,Win,Jost Malczewski ,Win,Georg Lang ,Win,Joan Poyato Barberá ,Loss,Hsuan-Chih Kuo ,Win,Michael Kelsch ,Loss,Forhad Chodhoury ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/139,https://pokepast.es/96c12c89c2fb9f23,6,3
special-utrecht,Oficial,Leon Hudert,DE,Lycanroc, Focus Sash,Sand Rush,Ghost,Close Combat,Rock Slide,Endeavor,Protect,Garchomp, Leftovers,Sand Veil,Steel,Earthquake,Dragon Claw,Substitute,Protect,Tyranitar, Assault Vest,Sand Stream,Fairy,Knock Off,Rock Slide,Low Kick,Tera Blast,Flutter Mane, Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Corviknight, Rocky Helmet,Mirror Armor,Fire,Iron Defense,Body Press,Brave Bird,Roost,Tornadus, Covert Cloak,Prankster,Steel,Tailwind,Sunny Day,Sandstorm,Air Slash,Peter Gläser ,Win,Carl Dworzack ,Win,Dominique Z. ,Win,Emir Abdulovski ,Win,Abtin Ghaad Amini ,Win,Riccardo Stellini ,Loss,Adam Cherfaoui ,Loss,Javier Freire ,Win,Salvatore Rega ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/148,https://pokepast.es/420087dc360063c2,6,3
special-utrecht,Oficial,Gonzalo Estrada,ES,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Detect,Close Combat,Sucker Punch,Tornadus, Covert Cloak,Prankster,Steel,Air Slash,Taunt,Tailwind,Icy Wind,Farigiraf, Sitrus Berry,Armor Tail,Fire,Dazzling Gleam,Helping Hand,Trick Room,Psyshock,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,- Ivy Cudgel,Spiky Shield,Follow Me,Wood Hammer,Ursaluna-Bloodmoon,Life Orb,Mindâ€™s Eye,Normal,- Blood Moon,Earth Power,Hyper Voice,Protect,Iron Hands, Clear Amulet,Quark Drive,Fire,Fake Out,Wild Charge,Close Combat,Heavy Slam,Iván González Rosa ,Win,Robert Schädel ,Win,Shengyu Wang ,Loss,Jordi Casado Rejas ,Win,Lucas Rodrigues Carneiro ,Win,Alessandro Avino ,Win,Emanuele quagliani ,Loss,Mark Cotter ,Loss,Joshua (Silvester Laurens) van Sandijk ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/590,https://pokepast.es/ec4a22ee26aa329e,6,3
special-utrecht,Oficial,Regino Domínguez,ES,Iron Hands, Assault Vest,Quark Drive,Water,Drain Punch,Wild Charge,Heavy Slam,Fake Out,Incineroar, Sitrus Berry,Intimidate,Ghost,Fake Out,Parting Shot,Knock Off,Flare Blitz,Kingambit, Safety Goggles,Defiant,Dragon,Protect,Swords Dance,Kowtow Cleave,Sucker Punch,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Spiky Shield,Follow Me,Bronzong, Leftovers,Levitate,Fairy,Body Press,Trick Room,Gyro Ball,Iron Defense,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Eric Rios ,Loss,Gauthier Clanet ,Win,Carlos Cabal ,Win,Giovanni Favara ,Win,Marco Klinger ,Loss,Max Marczak ,Win,Berkin Dag ,Win,Salvatore Rega ,Loss,Oscar Princivalle ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/45,https://pokepast.es/d80dd7fd27fa15fb,6,3
special-utrecht,Oficial,Jonas Nienhüser,DE,Roaring Moon, Booster Energy,Protosynthesis,Flying,Acrobatics,Knock Off,Tailwind,Protect,Flutter Mane, Fairy Feather,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Amoonguss, Rocky Helmet,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Protect,Entei, Assault Vest,Inner Focus,Grass,Sacred Fire,Extreme Speed,Stomping Tantrum,Snarl,Grimmsnarl, Light Clay,Prankster,Ghost,Spirit Break,Light Screen,Reflect,Thunder Wave,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Steel,Surging Strikes,Close Combat,Aqua Jet,Detect,Andrea Maiellaro ,Win,Javier Señorena ,Win,Joan Poyato Barberá ,Loss,Bart van Doorn ,Loss,Dominique Z. ,Win,Jamie Boyt ,Win,Riccardo Minardi ,Loss,Tianyi Chen ,Win,José Luis García Sánchez ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/256,https://pokepast.es/f25dfab2bb468d60,6,3
special-utrecht,Oficial,Giacomo Tenti,IT,Chien-Pao, Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Protect,Sucker Punch,Sacred Sword,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Incineroar, Safety Goggles,Intimidate,Ghost,Knock Off,Flare Blitz,Fake Out,Parting Shot,Rillaboom, Assault Vest,Grassy Surge,Fire,U-turn,Wood Hammer,Grassy Glide,Fake Out,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Steel,U-turn,Surging Strikes,Aqua Jet,Close Combat,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Protect,Calm Mind,Fabian Schneekloth ,Loss,Alberto Baldi ,Win,Andrea Robustelli ,Win,Daniele Bianchi ,Win,Joan Garcia ,Win,Tianyi Chen ,Win,Shengyu Wang ,Loss,Oliver Gausden ,Loss,Marco Klinger ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/461,https://pokepast.es/6fb118a771461a99,6,3
special-utrecht,Oficial,Víctor García Quintana,ES,Landorus, Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Protect,Substitute,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Rillaboom, Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Kingambit,Black Glasses,Defiant,Dark,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Protect,Flutter Mane, Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Shadow Ball,Marco Girardi ,Win,Andrey Sereda ,Win,Sergio Ramirez ,Win,Aitzol Robles ,Win,Nikhil Reddy ,Loss,Bartosz Ekiert ,Win,Forhad Chodhoury ,Loss,Joan Poyato Barberá ,Win,Eric Rios ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/231,https://pokepast.es/88843fb30fa57537,6,3
special-utrecht,Oficial,Roberto Parente,IT,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Calm Mind,Protect,Chien-Pao, Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Rillaboom, Assault Vest,Grassy Surge,Grass,Wood Hammer,Grassy Glide,U-turn,Fake Out,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Steel,Surging Strikes,Aqua Jet,Close Combat,U-turn,Incineroar, Safety Goggles,Intimidate,Ghost,Flare Blitz,Fake Out,Parting Shot,Taunt,Carlo Patron ,Win,Iker Rodrigo ,Win,Peter Hoksbergen ,Win,Alberto Hernandez ,Win,Leonardo Bonanomi ,Loss,Robbie Van der Raaf ,Win,Abtin Ghaad Amini ,Win,Francesco Deiana ,Loss,Laura Schmenk ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/519,https://pokepast.es/6c5c2b0c41e72235,6,3
special-utrecht,Oficial,Oguz Salbacak,NL,Kingambit, Assault Vest,Defiant,Fairy,Kowtow Cleave,Sucker Punch,Iron Head,Low Kick,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane, Focus Sash,Protosynthesis,Stellar,Moonblast,Shadow Ball,Dazzling Gleam,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Rillaboom,Meadow Plate,Grassy Surge,Ghost,Wood Hammer,Grassy Glide,Fake Out,Taunt,Cedric Guillaume ,Win,Marco Klinger ,Win,Alberto Fornaini ,Win,Sven Kracht ,Win,Kay Elst ,Win,Alessandro Pietro Tucci ,Loss,Emilio Dominguez ,Loss,Mark Mullender ,Loss,Lorenzo Ricco ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/54,https://pokepast.es/6f19d154da921291,6,3
special-utrecht,Oficial,Simone Sanvito,IT,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Surging Strikes,U-turn,Aqua Jet,Close Combat,Amoonguss, Rocky Helmet,Regenerator,Fairy,Sludge Bomb,Spore,Rage Powder,Protect,Raging Bolt,Booster Energy,Protosynthesis,Fairy,Thunderbolt,Thunderclap,Draco Meteor,Protect,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Incineroar, Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Parting Shot,Fake Out,Rillaboom, Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,High Horsepower,Fake Out,Michele Trevisan ,Win,Mark Mullender ,Loss,Jorijn Raijmakers ,Loss,Aurélien Richard ,Win,Jesse Kettmann ,Win,Marc Morales Romero ,Win,Philipp Mayr ,Win,Eric Rios ,Loss,David Barker ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/204,https://pokepast.es/e1891b5a2ba997e2,6,3
special-utrecht,Oficial,Boris Hamm,NL,Incineroar, Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,- Thunderclap,Dragon Pulse,Electroweb,Snarl,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Jan Junker ,Win,Sjoerd De Nooijer ,Win,Francesco Deiana ,Loss,Khaled Abusaada ,Win,Nicola Gianola ,Win,Ranieri Calderari ,Win,Bas van der Heijden ,Loss,Malte Rogoll ,Loss,Gauthier Clanet ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/657,https://pokepast.es/50e7627b936562b0,6,3
special-utrecht,Oficial,Julian Piñeiro Fernandez,ES,Gholdengo, Leftovers,Good as Gold,Fairy,Protect,Make It Rain,Shadow Ball,Nasty Plot,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Landorus, Life Orb,Sheer Force,Poison,Protect,Earth Power,Sludge Bomb,Sandsear Storm,Incineroar, Sitrus Berry,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,Parting Shot,Tornadus, Rocky Helmet,Prankster,Steel,Tailwind,Protect,Rain Dance,Bleakwind Storm,Baxcalibur, Clear Amulet,Thermal Exchange,Poison,Protect,Glaive Rush,Ice Shard,Icicle Crash,Elisa Zee ,Win,Tim Voss ,Loss,Jesse Kettmann ,Win,Julen Maeso Calzada ,Win,Paul Ender ,Loss,Oscar Escobosa Bosman ,Win,Hengyue Zhang ,Loss,Lucas Rodrigues Carneiro ,Win,Yoel Ramirez Pulido ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/129,https://pokepast.es/f1cb2c85ae6a3f37,6,3
special-utrecht,Oficial,Christos Santas,GR,Flutter Mane, Booster Energy,Protosynthesis,Grass,Moonblast,Shadow Ball,Calm Mind,Protect,Incineroar, Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Knock Off,Flare Blitz,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,U-turn,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,- Ivy Cudgel,Grassy Glide,Spiky Shield,Swords Dance,Farigiraf, Throat Spray,Armor Tail,Fairy,Psychic,Trick Room,Hyper Voice,Protect,Rillaboom, Assault Vest,Grassy Surge,Poison,Grassy Glide,U-turn,Wood Hammer,Fake Out,Timo Klimt ,Win,Killian Morice ,Win,Abtin Ghaad Amini ,Loss,Luca Marco Hudert ,Win,Matteo Moscardini ,Win,Javier Señorena ,Loss,Marc-Antoine Boitel ,Win,Matteo Ferrari ,Win,Kylian Duquesne ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/303,https://pokepast.es/e848dd34da971423,6,3
special-utrecht,Oficial,Davide Fazio,IT,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Steel,Surging Strikes,Close Combat,Aqua Jet,U-turn,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Chien-Pao, Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Rillaboom, Assault Vest,Grassy Surge,Grass,Wood Hammer,Grassy Glide,U-turn,Fake Out,Raging Bolt,Leftovers,Protosynthesis,Fairy,- Thunderclap,Dragon Pulse,Calm Mind,Protect,Incineroar, Safety Goggles,Intimidate,Ghost,Flare Blitz,Parting Shot,Fake Out,Taunt,Danilo Fischer ,Win,Paul Ender ,Win,iris de wal ,Win,Sebastian Liu Li ,Loss,Sebastian Blümmers ,Loss,Paul Hinta ,Loss,Omar ZIYANI ,Win,James Clough ,Win,John Damas ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/397,https://pokepast.es/d4d101335764ab32,6,3
special-utrecht,Oficial,Bartosz Ekiert,PL,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Protect,Ice Spinner,Sacred Sword,Sucker Punch,Landorus-Therian, Choice Band,Intimidate,Water,Rock Slide,Stomping Tantrum,Earthquake,U-turn,Raging Bolt,Assault Vest,Protosynthesis,Fairy,- Thunderclap,Snarl,Volt Switch,Draco Meteor,Tornadus, Rocky Helmet,Prankster,Steel,Bleakwind Storm,Tailwind,Scary Face,Protect,Gholdengo, Life Orb,Good as Gold,Steel,Make It Rain,Shadow Ball,Nasty Plot,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Horn Leech,Follow Me,Ivy Cudgel,Alessandro Mandirola ,Win,Danilo Modugno ,Win,Sven van der Voorden ,Win,Patrick Liam Pluess ,Win,Francesco Deiana ,Loss,Víctor García Quintana ,Loss,James Clough ,Win,Baris “BillaVGC” Akcos ,Loss,Sam Pickering ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/195,https://pokepast.es/723bf12b6c987751,6,3
special-utrecht,Oficial,Roel Egberts,NL,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,- Thunderclap,Draco Meteor,Thunderbolt,Snarl,Incineroar, Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Benjamin van Hoeckel ,Win,Mike Reiziger ,Win,Emilio Dominguez ,Loss,Alex Butters ,Loss,Richard Taylor ,Win,Jesús Montero ,Win,Joshua (Silvester Laurens) van Sandijk ,Win,Laura Schmenk ,Loss,Jorge Fernández Calatrava ,Win,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/576,https://pokepast.es/8a01abd139c48643,6,3
special-utrecht,Oficial,Fabian Schneekloth,DE,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Dragonite, Assault Vest,Inner Focus,Normal,Extreme Speed,Aerial Ace,Stomping Tantrum,Ice Spinner,Amoonguss, Sitrus Berry,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Clear Smog,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,- Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Heat Crash,Howl,Burning Bulwark,Kingambit,Black Glasses,Defiant,Fairy,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Giacomo Tenti ,Win,Miguel Soriano ,Win,Alexander Kampf ,Loss,Munkh-Orgil Munkhbat ,Loss,Gideon van Steenbergen ,Win,Andrea Gozzi ,Win,Sjoerd De Nooijer ,Win,Matteo Moscardini ,Win,Bart van Doorn ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/460,https://pokepast.es/de0b8020078fcf4c,6,3
special-utrecht,Oficial,Alberto Cañuelo Gómez,ES,Pelipper, Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Wide Guard,Tailwind,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Shadow Ball,Dazzling Gleam,Archaludon,Assault Vest,Stamina,Grass,Body Press,Electro Shot,Dragon Pulse,Heavy Slam,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Grass,Ice Spinner,Close Combat,Surging Strikes,U-turn,Incineroar, Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Knock Off,Will-O-Wisp,Amoonguss, Rocky Helmet,Regenerator,Fairy,Protect,Spore,Rage Powder,Pollen Puff,Jorge Marti ,Loss,Timo van der Vliet ,Win,Pascal Legband ,Win,Davide Aondio ,Win,Iván González Rosa ,Win,Daniel Parris ,Win,Iker Rodrigo ,Loss,Lorenzo Ricco ,Win,Oliver Gausden ,Loss,,,,,,,,,,,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/14,https://pokepast.es/b86fa6a649c58700,6,3
