Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6
Chien-Pao,Assault Vest,Sword of Ruin,Electric,Ice Spinner,Sucker Punch,Sacred Sword,Tera Blast,Raging Bolt,Booster Energy,Protosynthesis,Fairy,Thunderbolt,Thunderclap,Draco Meteor,Protect,Entei,Sitrus Berry,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Helping Hand,Primarina,Leftovers,Liquid Voice,Grass,Hyper Voice,Moonblast,Calm Mind,Protect,Ogerpon,Life Orb,Defiant,Grass,Ivy Cudgel,Superpower,Follow Me,Spiky Shield,Spectrier,Wide Lens,Grim Neigh,Dark,Shadow Ball,Will-O-Wisp,Snarl,Taunt
Entei,Assault Vest,Inner Focus,Grass,Extreme Speed,Sacred Fire,Stomping Tantrum,Snarl,Indeedee-F,Psychic Seed,Psychic Surge,Ghost,Follow Me,Dazzling Gleam,Trick Room,Helping Hand,Walking Wake,Life Orb,Protosynthesis,Water,Hydro Steam,Draco Meteor,Protect,Flamethrower,Torkoal,Charcoal,Drought,Fire,Eruption,Earth Power,Heat Wave,Helping Hand,Lilligant-Hisui,Clear Amulet,Chlorophyll,Ghost,Solar Blade,Close Combat,After You,Sleep Powder,Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Tera Blast,Protect
Raging Bolt,Wise Glasses,Protosynthesis,Electric,Thunderclap,Draco Meteor,Thunderbolt,Protect,Thundurus,Covert Cloak,Prankster,Electric,Thunderbolt,Electric Terrain,Sunny Day,Thunder Wave,Entei,Assault Vest,Inner Focus,Normal,Sacred Fire,Stomping Tantrum,Extreme Speed,Snarl,Urshifu,Muscle Band,Unseen Fist,Stellar,Wicked Blow,Sucker Punch,Close Combat,Detect,Flutter Mane,Fairy Feather,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me
Comfey,Big Root,Triage,Steel,Draining Kiss,Calm Mind,Floral Healing,Protect,Gastrodon,Rocky Helmet,Storm Drain,Flying,Earth Power,Tera Blast,Ice Beam,Protect,Iron Hands,Clear Amulet,Quark Drive,Grass,Protect,Drain Punch,Wild Charge,Heavy Slam,Dragonite,Assault Vest,Multiscale,Normal,Iron Head,Earthquake,Ice Spinner,Extreme Speed,Porygon2,Eviolite,Trace,Ghost,Tri Attack,Recover,Shadow Ball,Trick Room,Incineroar,Safety Goggles,Intimidate,Flying,Fake Out,Knock Off,Acrobatics,Flare Blitz
Iron Bundle,Focus Sash,Quark Drive,Ghost,Protect,Freeze-Dry,Icy Wind,Hydro Pump,Weezing,Sitrus Berry,Neutralizing Gas,Ghost,Protect,Taunt,Will-O-Wisp,Sludge Bomb,Rhyperior,Life Orb,Lightning Rod,Fairy,Tera Blast,High Horsepower,Protect,Rock Wrecker,Cresselia,Safety Goggles,Levitate,Fairy,Trick Room,Lunar Blessing,Ice Beam,Dazzling Gleam,Urshifu-Rapid-Strike,Assault Vest,Unseen Fist,Steel,Surging Strikes,Close Combat,Ice Spinner,Aqua Jet,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect
Rillaboom,Miracle Seed,Grassy Surge,Water,Fake Out,Grassy Glide,Wood Hammer,U-turn,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Substitute,Icy Wind,Protect,Landorus,Life Orb,Sheer Force,Poison,Sandsear Storm,Earth Power,Tera Blast,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Spiky Shield,Horn Leech,Follow Me,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sacred Sword,Protect,Haze,Entei,Assault Vest,Inner Focus,Normal,Snarl,Extreme Speed,Stomping Tantrum,Sacred Fire
Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Clear Smog,Rage Powder,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic Noise,Dazzling Gleam,Trick Room,Nasty Plot,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Landorus,Life Orb,Sheer Force,Poison,Sandsear Storm,Earth Power,Sludge Bomb,Protect,Dragapult,Choice Band,Clear Body,Ghost,Dragon Darts,Phantom Force,U-turn,Tera Blast
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Dragonite,Choice Band,Inner Focus,Normal,Outrage,Aerial Ace,Extreme Speed,Stomping Tantrum,Raging Bolt,Leftovers,Protosynthesis,Grass,Thunderclap,Calm Mind,Dragon Pulse,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Snarl,Parting Shot,Fake Out
Entei,Assault Vest,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Facade,Raging Bolt,Safety Goggles,Protosynthesis,Electric,Thunderclap,Thunderbolt,Draco Meteor,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Spiky Shield,Follow Me,Horn Leech,Incineroar,Clear Amulet,Intimidate,Fire,Flare Blitz,Darkest Lariat,U-turn,Brick Break,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Fighting,Surging Strikes,Brick Break,Ice Spinner,Iron Head,Indeedee,Focus Sash,Psychic Surge,Steel,Expanding Force,Dazzling Gleam,Encore,Helping Hand
Rillaboom,Miracle Seed,Grassy Surge,Fire,Wood Hammer,Grassy Glide,High Horsepower,Fake Out,Archaludon,Assault Vest,Stamina,Bug,Snarl,Body Press,Dragon Tail,Electro Shot,Dragapult,Power Herb,Clear Body,Steel,Dragon Darts,Phantom Force,U-turn,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Whimsicott,Focus Sash,Prankster,Fairy,Tailwind,Encore,Endeavor,Moonblast,Pelipper,Covert Cloak,Drizzle,Grass,U-turn,Tailwind,Hurricane,Wide Guard
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Grass,Breaking Swipe,Heat Crash,Snarl,Burning Bulwark,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Aerial Ace,Outrage,Stomping Tantrum,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Thunderbolt
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Ice Spinner,U-turn,Landorus,Life Orb,Sheer Force,Poison,Sandsear Storm,Protect,Sludge Bomb,Earthquake,Grimmsnarl,Light Clay,Prankster,Poison,Spirit Break,Light Screen,Reflect,Parting Shot,Walking Wake,Booster Energy,Protosynthesis,Fairy,Hydro Steam,Draco Meteor,Snarl,Flamethrower,Tornadus,Rocky Helmet,Prankster,Dark,Rain Dance,Tailwind,Protect,Bleakwind Storm,Tsareena,Assault Vest,Queenly Majesty,Water,Play Rough,Knock Off,U-turn,Trop Kick
Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Metagross,Choice Band,Clear Body,Dragon,Bullet Punch,Psychic Fangs,Stomping Tantrum,Heavy Slam,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Thunderbolt,Whimsicott,Covert Cloak,Prankster,Ghost,Tailwind,Encore,Sunny Day,Energy Ball,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Parting Shot,Fake Out
Raging Bolt,Safety Goggles,Protosynthesis,Water,Thunderclap,Thunderbolt,Draco Meteor,Protect,Kleavor,Choice Band,Sharpness,Dragon,Stone Axe,Rock Slide,X-Scissor,U-turn,Urshifu-Rapid-Strike,Focus Sash,Unseen Fist,Water,Surging Strikes,Aqua Jet,Close Combat,Detect,Whimsicott,Rocky Helmet,Prankster,Ghost,Moonblast,Charm,Tailwind,Encore,Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Snarl,Extreme Speed,Stomping Tantrum,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind
Maushold,Safety Goggles,Friend Guard,Ghost,Beat Up,Protect,Follow Me,Super Fang,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Aqua Jet,Incineroar,Eject Button,Intimidate,Poison,Fake Out,Knock Off,Flare Blitz,Parting Shot,Archaludon,Assault Vest,Stamina,Grass,Electro Shot,Flash Cannon,Draco Meteor,Body Press,Amoonguss,Sitrus Berry,Regenerator,Water,Rage Powder,Pollen Puff,Spore,Protect,Pelipper,Rocky Helmet,Drizzle,Flying,Hurricane,Tailwind,Protect,Wide Guard
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Farigiraf,Rocky Helmet,Armor Tail,Water,Psychic,Dazzling Gleam,Helping Hand,Trick Room,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind,Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Extreme Speed,Snarl,Stomping Tantrum,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Protect,Sucker Punch,Sacred Sword,Dragonite,Choice Band,Inner Focus,Normal,Outrage,Aerial Ace,Extreme Speed,Stomping Tantrum
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Protect,Dazzling Gleam,Psychic Noise,Trick Room,Incineroar,Assault Vest,Intimidate,Bug,Flare Blitz,Snarl,U-turn,Fake Out,Gholdengo,Life Orb,Good as Gold,Steel,Protect,Make It Rain,Shadow Ball,Nasty Plot,Regidrago,Choice Scarf,Dragon's Maw,Steel,Dragon Energy,Draco Meteor,Earth Power,Tera Blast,Whimsicott,Covert Cloak,Prankster,Ghost,Moonblast,Tailwind,Encore,Taunt
Archaludon,Assault Vest,Stamina,Fairy,Flash Cannon,Electro Shot,Body Press,Draco Meteor,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Sacred Sword,Ice Spinner,Sucker Punch,Protect,Tornadus,Mental Herb,Prankster,Ghost,Bleakwind Storm,Tailwind,Protect,Rain Dance,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Aqua Jet,Close Combat,Ice Spinner,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Stomping Tantrum,Aerial Ace,Outrage,Rillaboom,Grassy Seed,Grassy Surge,Grass,Wood Hammer,Grassy Glide,Fake Out,U-turn
Gholdengo,Choice Specs,Good as Gold,Steel,Make It Rain,Shadow Ball,Protect,Thunderbolt,Gouging Fire,Booster Energy,Protosynthesis,Grass,Burning Bulwark,Breaking Swipe,Stomping Tantrum,Heat Crash,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Trick Room,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Follow Me,Protect,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Ghost,Blood Moon,Earth Power,Protect,Hyper Voice,Regidrago,Draco Plate,Dragon's Maw,Steel,Dragon Energy,Dragon Pulse,Tera Blast,Protect
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Ice Spinner,U-turn,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Power Gem,Incineroar,Sitrus Berry,Intimidate,Water,Flare Blitz,Knock Off,Fake Out,Parting Shot,Amoonguss,Rocky Helmet,Regenerator,Dark,Protect,Pollen Puff,Spore,Rage Powder,Pelipper,Focus Sash,Drizzle,Flying,Hurricane,Tailwind,Weather Ball,Protect,Archaludon,Assault Vest,Stamina,Fairy,Flash Cannon,Electro Shot,Draco Meteor,Body Press
Entei,Assault Vest,Inner Focus,Normal,Extreme Speed,Sacred Fire,Stomping Tantrum,Snarl,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Outrage,Aerial Ace,Stomping Tantrum,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Throat Chop,Sacred Sword,Protect,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Detect,Rillaboom,Miracle Seed,Grassy Surge,Fire,Grassy Glide,Wood Hammer,High Horsepower,Fake Out,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Thunderbolt
Flutter Mane,Focus Sash,Protosynthesis,Fairy,Protect,Dazzling Gleam,Shadow Ball,Moonblast,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Follow Me,Ivy Cudgel,Spiky Shield,Horn Leech,Incineroar,Sitrus Berry,Intimidate,Fire,Protect,Flare Blitz,Knock Off,Parting Shot,Iron Boulder,Booster Energy,Quark Drive,Steel,Protect,Sacred Sword,Mighty Cleave,Swords Dance,Indeedee,Safety Goggles,Psychic Surge,Psychic,Trick Room,Protect,Expanding Force,Hyper Voice,Landorus,Life Orb,Sheer Force,Ground,Protect,Earth Power,Sludge Bomb,Nasty Plot
Incineroar,Safety Goggles,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Scizor,Choice Band,Technician,Water,Bullet Punch,Close Combat,Dual Wingbeat,Bug Bite,Amoonguss,Sitrus Berry,Regenerator,Water,Grass Knot,Rage Powder,Pollen Puff,Spore,Raging Bolt,Assault Vest,Protosynthesis,Grass,Dragon Pulse,Draco Meteor,Thunderbolt,Thunderclap,Iron Bundle,Booster Energy,Quark Drive,Ice,Icy Wind,Freeze-Dry,Hydro Pump,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Power Gem,Moonblast
Landorus-Therian,Choice Scarf,Intimidate,Flying,Stomping Tantrum,Rock Slide,U-turn,Tera Blast,Gothitelle,Leftovers,Shadow Tag,Grass,Protect,Psychic,Fake Out,Heal Pulse,Politoed,Safety Goggles,Drizzle,Fairy,Icy Wind,Muddy Water,Protect,Perish Song,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield,Archaludon,Assault Vest,Stalwart,Electric,Snarl,Draco Meteor,Flash Cannon,Electro Shot
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Protect,Sucker Punch,Sacred Sword,Dragonite,Choice Band,Inner Focus,Normal,Stomping Tantrum,Aerial Ace,Outrage,Extreme Speed,Entei,Assault Vest,Inner Focus,Grass,Sacred Fire,Extreme Speed,Stomping Tantrum,Snarl,Thundurus,Covert Cloak,Prankster,Fairy,Wildbolt Storm,Eerie Impulse,Thunder Wave,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sandsear Storm,Protect,Sludge Bomb,Araquanid,Rocky Helmet,Water Bubble,Water,Wide Guard,Leech Life,Protect,Liquidation
Raging Bolt,Safety Goggles,Protosynthesis,Electric,Thunderclap,Dragon Pulse,Calm Mind,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Spiky Shield,Follow Me,Horn Leech,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Aerial Ace,Sucker Punch,Sacred Sword,Porygon2,Eviolite,Trace,Ghost,Ice Beam,Recover,Thunderbolt,Trick Room,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Icy Wind,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Fake Out,Parting Shot,Knock Off
Archaludon,Clear Amulet,Stamina,Electric,Protect,Flash Cannon,Body Press,Electro Shot,Gothitelle,Mental Herb,Shadow Tag,Ghost,Reflect,Light Screen,Trick Room,Fake Out,Roaring Moon,Booster Energy,Protosynthesis,Flying,Jaw Lock,Tailwind,Acrobatics,Breaking Swipe,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Protect,Swords Dance,Politoed,Mystic Water,Drizzle,Water,Surf,Perish Song,Weather Ball,Protect,Iron Bundle,Focus Sash,Quark Drive,Ice,Freeze-Dry,Icy Wind,Electric Terrain,Taunt
Kingambit,Assault Vest,Defiant,Fairy,Tera Blast,Iron Head,Kowtow Cleave,Sucker Punch,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Icy Wind,Moonblast,Landorus,Life Orb,Sheer Force,Poison,Sludge Bomb,Protect,Earth Power,Substitute,Incineroar,Sitrus Berry,Intimidate,Fairy,Flare Blitz,Knock Off,Fake Out,Parting Shot,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Horn Leech,Latias,Rocky Helmet,Levitate,Poison,Draco Meteor,Mist Ball,Recover,Tailwind
Walking Wake,Assault Vest,Protosynthesis,Poison,Hydro Steam,Flamethrower,Draco Meteor,Protect,Maushold-Four,Sitrus Berry,Friend Guard,Grass,Beat Up,Follow Me,Protect,After You,Farigiraf,Toxic Orb,Armor Tail,Psychic,Helping Hand,Bulldoze,Trick,Psyshock,Flutter Mane,Fairy Feather,Protosynthesis,Stellar,Shadow Ball,Dazzling Gleam,Helping Hand,Protect,Tornadus,Covert Cloak,Prankster,Electric,Sunny Day,Tailwind,Bleakwind Storm,Protect,Metagross,Weakness Policy,Clear Body,Flying,Bullet Punch,Psychic Fangs,Heavy Slam,Protect
Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Whimsicott,Focus Sash,Prankster,Ghost,Moonblast,Tailwind,Sunny Day,Energy Ball,Chi-Yu,Black Glasses,Beads of Ruin,Grass,Dark Pulse,Heat Wave,Nasty Plot,Protect,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Helping Hand,Trick Room,Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Tera Blast,Substitute,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Ice Punch,Close Combat,U-turn
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Ivy Cudgel,Superpower,Gholdengo,Leftovers,Good as Gold,Dragon,Nasty Plot,Make It Rain,Shadow Ball,Protect,Tornadus,Covert Cloak,Prankster,Ghost,Bleakwind Storm,Tailwind,Taunt,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Extreme Speed,Flare Blitz,Rock Slide,Tera Blast,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Protect,Sandsear Storm
Incineroar,Rocky Helmet,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot,Ninetales-Alola,Focus Sash,Snow Warning,Water,Aurora Veil,Freeze-Dry,Moonblast,Protect,Tornadus,Sharp Beak,Prankster,Ghost,Tailwind,Snowscape,Bleakwind Storm,Taunt,Heatran,Assault Vest,Flash Fire,Grass,Flash Cannon,Earth Power,Magma Storm,Lava Plume,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Baxcalibur,Loaded Dice,Thermal Exchange,Dragon,Protect,Dragon Dance,Scale Shot,Icicle Spear
Snorlax,Sitrus Berry,Thick Fat,Fairy,Facade,Belly Drum,Protect,High Horsepower,Torkoal,Charcoal,Drought,Fire,Eruption,Heat Wave,Protect,Earth Power,Umbreon,Safety Goggles,Inner Focus,Fairy,Foul Play,Yawn,Taunt,Moonlight,Pikachu,Focus Sash,Lightning Rod,Ghost,Thunderbolt,Fake Out,Nuzzle,Endeavor,Girafarig,Eviolite,Inner Focus,Grass,Psychic,Trick Room,Helping Hand,Dazzling Gleam,Venusaur,Covert Cloak,Chlorophyll,Fire,Energy Ball,Sludge Bomb,Earth Power,Weather Ball
Chi-Yu,Choice Scarf,Beads of Ruin,Grass,Lava Plume,Dark Pulse,Psychic,Ruination,Gouging Fire,Leftovers,Protosynthesis,Fire,Lava Plume,Burning Bulwark,Fire Fang,Dragon Claw,Dachsbun,Safety Goggles,Well-Baked Body,Steel,Body Press,Psychic Fangs,Helping Hand,Misty Terrain,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Throat Chop,Spiky Shield,Follow Me,Indeedee-F,Psychic Seed,Psychic Surge,Water,Hyper Voice,Trick Room,Follow Me,Helping Hand,Iron Crown,Booster Energy,Quark Drive,Steel,Expanding Force,Tachyon Cutter,Calm Mind,Stored Power
Walking Wake,Booster Energy,Protosynthesis,Water,Hydro Steam,Dragon Pulse,Protect,Flamethrower,Serperior,Wide Lens,Contrary,Stellar,Leaf Storm,Protect,Tera Blast,Glare,Gholdengo,Leftovers,Good as Gold,Steel,Shadow Ball,Make It Rain,Nasty Plot,Protect,Great Tusk,Assault Vest,Protosynthesis,Fire,Brick Break,Headlong Rush,Ice Spinner,Iron Head,Incineroar,Sitrus Berry,Intimidate,Flying,Fire Punch,Knock Off,Fake Out,Parting Shot,Iron Hands,Rocky Helmet,Quark Drive,Grass,Fake Out,Wild Charge,Drain Punch,Protect
Iron Hands,Assault Vest,Quark Drive,Water,Fake Out,Drain Punch,Volt Switch,Wild Charge,Rillaboom,Miracle Seed,Grassy Surge,Grass,U-turn,Wood Hammer,Grassy Glide,Fake Out,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Protect,Incineroar,Sitrus Berry,Intimidate,Water,Knock Off,Flare Blitz,Fake Out,Parting Shot,Tornadus,Rocky Helmet,Prankster,Steel,Air Slash,Tailwind,Icy Wind,Taunt,Landorus-Therian,Clear Amulet,Intimidate,Flying,Stomping Tantrum,Protect,U-turn,Tera Blast
Comfey,Big Root,Triage,Steel,Protect,Calm Mind,Draining Kiss,Floral Healing,Iron Hands,Clear Amulet,Quark Drive,Grass,Protect,Drain Punch,Heavy Slam,Wild Charge,Porygon2,Eviolite,Trace,Ghost,Trick Room,Recover,Tri Attack,Psychic,Gastrodon,Rocky Helmet,Storm Drain,Flying,Protect,Ice Beam,Earth Power,Clear Smog,Incineroar,Safety Goggles,Intimidate,Flying,Fake Out,Flare Blitz,Knock Off,Acrobatics,Dragonite,Choice Band,Multiscale,Normal,Extreme Speed,Iron Head,Ice Spinner,Stomping Tantrum
Iron Crown,Booster Energy,Quark Drive,Water,Expanding Force,Tachyon Cutter,Protect,Tera Blast,Landorus,Life Orb,Sheer Force,Poison,Sandsear Storm,Earth Power,Protect,Sludge Bomb,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Trick Room,Helping Hand,Dazzling Gleam,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Spiky Shield,Horn Leech,Follow Me,Tornadus,Covert Cloak,Prankster,Ghost,Bleakwind Storm,Rain Dance,Protect,Tailwind,Blaziken,White Herb,Speed Boost,Grass,Flare Blitz,Close Combat,Detect,Swords Dance
Dondozo,Leftovers,Unaware,Grass,Earthquake,Order Up,Wave Crash,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Sacred Sword,Sucker Punch,Ice Spinner,Protect,Dragonite,Choice Band,Inner Focus,Normal,Outrage,Earthquake,Aerial Ace,Extreme Speed,Ogerpon,Covert Cloak,Defiant,Grass,Ivy Cudgel,Superpower,Spiky Shield,Follow Me,Tatsugiri,Choice Scarf,Commander,Steel,Muddy Water,Icy Wind,Dragon Pulse,Draco Meteor,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Mortal Spin,Spiky Shield
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Protect,Energy Ball,Metagross,Assault Vest,Clear Body,Flying,Bullet Punch,Heavy Slam,Stomping Tantrum,Psychic Fangs,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sacred Sword,Haze,Sucker Punch,Whimsicott,Rocky Helmet,Prankster,Ghost,Tailwind,Sunny Day,Moonblast,Taunt,Incineroar,Sitrus Berry,Intimidate,Water,Knock Off,Flare Blitz,Parting Shot,Fake Out,Walking Wake,Leftovers,Protosynthesis,Water,Hydro Steam,Draco Meteor,Protect,Flamethrower
Farigiraf,Safety Goggles,Armor Tail,Fire,Hyper Voice,Psyshock,Helping Hand,Trick Room,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Blood Moon,Earth Power,Sleep Talk,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Taunt,Smeargle,Focus Sash,Technician,Grass,Fake Out,Follow Me,Spore,Decorate,Staraptor,Choice Scarf,Reckless,Flying,Brave Bird,Close Combat,Final Gambit,U-turn,Urshifu,Choice Band,Unseen Fist,Grass,Wicked Blow,Close Combat,Sucker Punch,Iron Head
Rillaboom,Assault Vest,Grassy Surge,Dark,Grassy Glide,Wood Hammer,U-turn,Fake Out,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Glaive Rush,Ice Shard,Swords Dance,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Ninetales-Alola,Light Clay,Snow Warning,Ghost,Icy Wind,Moonblast,Encore,Aurora Veil,Heatran,Sitrus Berry,Flash Fire,Grass,Heat Wave,Flash Cannon,Earth Power,Protect,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderbolt,Thunderclap,Draco Meteor,Protect
