"Pokémon","Objeto","Habilidad","Teratipo","Torneo","Nombre","cluster","Movimiento"
"Rillaboom","Assault Vest","Grassy Surge","Fire","special-utrecht","Leonardo Bonanomi","Japan Balance","Fake Out"
"Incineroar","Sitrus Berry","Intimidate","Ghost","special-utrecht","Leonardo Bonanomi","Japan Balance","Flare Blitz"
"Incineroar","Sitrus Berry","Intimidate","Ghost","special-utrecht","Leonardo Bonanomi","Japan Balance","Fake Out"
"Incineroar","Sitrus Berry","Intimidate","Ghost","special-utrecht","Leonardo Bonanomi","Japan Balance","Parting Shot"
"Incineroar","Sitrus Berry","Intimidate","Ghost","special-utrecht","Leonardo Bonanomi","Japan Balance","Taunt"
"Raging Bolt","Booster Energy","Protosynthesis","Fairy","special-utrecht","Leonardo Bonanomi","Japan Balance","Thunderclap"
"Raging Bolt","Booster Energy","Protosynthesis","Fairy","special-utrecht","Leonardo Bonanomi","Japan Balance","Dragon Pulse"
"Raging Bolt","Booster Energy","Protosynthesis","Fairy","special-utrecht","Leonardo Bonanomi","Japan Balance","Thunderbolt"
"Raging Bolt","Booster Energy","Protosynthesis","Fairy","special-utrecht","Leonardo Bonanomi","Japan Balance","Protect"
"Landorus","Life Orb","Sheer Force","Poison","special-utrecht","Leonardo Bonanomi","Japan Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Poison","special-utrecht","Leonardo Bonanomi","Japan Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Poison","special-utrecht","Leonardo Bonanomi","Japan Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Poison","special-utrecht","Leonardo Bonanomi","Japan Balance","Protect"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","special-utrecht","Leonardo Bonanomi","Japan Balance","Icicle Crash"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","special-utrecht","Leonardo Bonanomi","Japan Balance","Sacred Sword"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","special-utrecht","Leonardo Bonanomi","Japan Balance","Sucker Punch"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","special-utrecht","Leonardo Bonanomi","Japan Balance","Protect"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","special-utrecht","Leonardo Bonanomi","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","special-utrecht","Leonardo Bonanomi","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","special-utrecht","Leonardo Bonanomi","Japan Balance","U-turn"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","special-utrecht","Leonardo Bonanomi","Japan Balance","Aqua Jet"
"Rillaboom","Assault Vest","Grassy Surge","Fire","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","regional-goiânia","Pedro Soares Fialdini","Japan Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Fire","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Fake Out"
"Landorus","Life Orb","Sheer Force","Poison","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Poison","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Poison","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Poison","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Parting Shot"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Dragon Pulse"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Thunderclap"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Calm Mind"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Protect"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Ice Spinner"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","regional-goiânia","Pedro Soares Fialdini","Japan Balance","U-turn"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Icicle Crash"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Sucker Punch"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Sacred Sword"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","regional-goiânia","Pedro Soares Fialdini","Japan Balance","Protect"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","U-turn"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Protect"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Icicle Crash"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Sucker Punch"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Sacred Sword"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Thunderclap"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Dragon Pulse"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Calm Mind"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Protect"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x VGC Kingdom 🔥","bigmikeog","Japan Balance","Fake Out"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","U-turn"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Aqua Jet"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Thunderclap"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Dragon Pulse"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Calm Mind"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Grass","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Grass","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Grass","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Grass","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Knock Off"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Fake Out"
"Landorus","Life Orb","Sheer Force","Poison","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Poison","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Poison","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Poison","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Protect"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Icicle Crash"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Sucker Punch"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Sacred Sword"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Pokémon Day Week x SpearPillar Saturday Showdown","bobby02","Japan Balance","Protect"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","U-turn"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Parting Shot"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","U-turn"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Icicle Crash"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Sucker Punch"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Sacred Sword"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Protect"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Poison","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Protect"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Dragon Pulse"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Thunderclap"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Calm Mind"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon Day Week x Nino FF #85","mau_halab","Japan Balance","Protect"
"Raging Bolt","Booster Energy","Protosynthesis","Electric","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Thunderbolt"
"Raging Bolt","Booster Energy","Protosynthesis","Electric","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Thunderclap"
"Raging Bolt","Booster Energy","Protosynthesis","Electric","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Dragon Pulse"
"Raging Bolt","Booster Energy","Protosynthesis","Electric","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Taunt"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Parting Shot"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","U-turn"
"Sylveon","Leftovers","Pixilate","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Hyper Voice"
"Sylveon","Leftovers","Pixilate","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Tera Blast"
"Sylveon","Leftovers","Pixilate","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Calm Mind"
"Sylveon","Leftovers","Pixilate","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Protect"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Ice Spinner"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","U-turn"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Icicle Crash"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Sucker Punch"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Sacred Sword"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","sempra","Japan Balance","Protect"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","U-turn"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Tommy's Tuesday Practice Tour","striker","Japan Balance","Icicle Crash"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Tommy's Tuesday Practice Tour","striker","Japan Balance","Sacred Sword"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Tommy's Tuesday Practice Tour","striker","Japan Balance","Sucker Punch"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Tommy's Tuesday Practice Tour","striker","Japan Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","Tommy's Tuesday Practice Tour","striker","Japan Balance","Parting Shot"
"Landorus","Life Orb","Sheer Force","Poison","Tommy's Tuesday Practice Tour","striker","Japan Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Poison","Tommy's Tuesday Practice Tour","striker","Japan Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Poison","Tommy's Tuesday Practice Tour","striker","Japan Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Poison","Tommy's Tuesday Practice Tour","striker","Japan Balance","Protect"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Tommy's Tuesday Practice Tour","striker","Japan Balance","Thunderbolt"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Tommy's Tuesday Practice Tour","striker","Japan Balance","Thunderclap"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Tommy's Tuesday Practice Tour","striker","Japan Balance","Draco Meteor"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Tommy's Tuesday Practice Tour","striker","Japan Balance","Snarl"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","Tommy's Tuesday Practice Tour","striker","Japan Balance","Wood Hammer"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","Tommy's Tuesday Practice Tour","striker","Japan Balance","Grassy Glide"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","Tommy's Tuesday Practice Tour","striker","Japan Balance","Fake Out"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","Tommy's Tuesday Practice Tour","striker","Japan Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Will-O-Wisp"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Thunderclap"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Protect"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Calm Mind"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Dragon Pulse"
"Rillaboom","Assault Vest","Grassy Surge","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Ghost","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","U-turn"
"Chien-Pao","Clear Amulet","Sword of Ruin","Fire","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Icicle Crash"
"Chien-Pao","Clear Amulet","Sword of Ruin","Fire","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Protect"
"Chien-Pao","Clear Amulet","Sword of Ruin","Fire","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Sucker Punch"
"Chien-Pao","Clear Amulet","Sword of Ruin","Fire","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Sacred Sword"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","U-turn"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Aqua Jet"
"Landorus","Life Orb","Sheer Force","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Steel","Pokemon day week x VGC trainer school tour!","tabu","Japan Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Ghost","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Will-O-Wisp"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Fire","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Fire","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Fire","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","SpearPillar S/V Cart Tour #18","tagami","Japan Balance","Grassy Glide"
